"rownum","WordsKey","ItemVisualIdentityKey","UniqueStashTypesKey","i32","i32","OverrideWidth","OverrideHeight","ShowIfEmptyChallengeLeague","ShowIfEmptyStandard","RenamedVersion","BaseVersion","IsAlternateArt"
0,41,7461,7,0,0,0,0,1,1,"","",""
1,42,7462,6,0,0,1,3,1,1,"","",""
2,43,7463,1,0,0,0,0,1,1,"","",""
3,44,7464,2,0,0,0,0,1,1,"","",""
4,45,7465,2,1,0,0,0,1,1,"","",""
5,47,7466,2,2,0,0,0,1,1,"","",""
6,48,7467,9,0,0,0,0,1,1,"","",""
7,49,7468,1,1,0,0,0,"","","","",""
8,50,7469,15,0,0,0,0,1,1,"","",""
9,51,7470,4,0,0,0,0,1,1,"","",""
10,52,7471,9,2,0,0,0,1,1,"","",""
11,53,7472,6,2,0,2,3,1,1,"","",""
12,54,7473,16,0,0,0,0,1,1,"","",""
13,55,7474,16,2,0,0,0,1,1,"","",""
14,56,7475,9,4,0,0,0,1,1,"","",""
15,58,7477,8,0,0,0,0,1,1,"","",""
16,59,7478,8,2,0,0,0,1,1,"","",""
17,60,7480,6,4,0,0,0,1,1,"","",""
18,61,7481,6,6,0,0,0,1,1,"","",""
19,62,7482,2,3,0,0,0,1,1,"","",""
20,64,7484,2,4,0,0,0,1,1,"","",""
21,66,7486,11,0,0,0,0,"","","","",""
22,67,7487,1,2,0,0,0,1,1,"","",""
23,68,7488,1,3,0,0,0,1,1,"","",""
24,70,7490,1,4,0,0,0,1,1,"","",""
25,71,7491,15,2,0,0,0,1,1,"","",""
26,72,7492,15,4,0,0,0,1,1,"","",""
27,74,7494,16,4,0,0,0,1,1,"","",""
28,75,7495,16,6,0,0,0,1,1,"","",""
29,76,7496,16,8,0,0,0,1,1,"","",""
30,77,7497,16,10,0,0,0,1,1,"","",""
31,78,7498,16,12,0,0,0,1,1,"","",""
32,79,7499,16,14,0,0,0,1,1,"","",""
33,80,7500,16,16,0,0,0,"","","","",""
34,81,7501,16,18,0,0,0,1,1,"","",""
35,82,7502,16,20,0,0,0,1,1,"","",""
36,83,7503,1,5,0,0,0,1,1,"","",""
37,84,7504,14,0,0,0,0,1,1,"","",""
38,85,7505,4,1,0,0,0,1,1,"","",""
39,86,7506,14,2,0,0,0,1,1,"","",""
